Indicator Name,"Indicator Code","Economy Name","Economy Code","2017 [YR2017]"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Senegal","SEN","408"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Serbia","SRB","523"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Seychelles","SYC","NA"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Sierra Leone","SLE","314"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Singapore","SGP","585"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Slovak Republic","SVK","503"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Slovenia","SVN","538"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Solomon Islands","SLB","373"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","South Africa","ZAF","359"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","South Sudan","SSD","NA"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Spain","ESP","513"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Sri Lanka","LKA","NA"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Sudan","SDN","389"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Sweden","SWE","531"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Switzerland","CHE","525"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Tajikistan","TJK","448"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Tanzania","TZA","395"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Thailand","THA","444"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Timor-Leste","TLS","378"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Togo","TGO","383"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Tonga","TON","386"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Trinidad and Tobago","TTO","471"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Tunisia","TUN","386"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Turkey","TUR","463"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Tuvalu","TUV","392"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Uganda","UGA","NA"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Ukraine","UKR","488"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","United Arab Emirates","ARE","464"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","United Kingdom","GBR","518"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","United States","USA","523"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Uruguay","URY","444"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Vanuatu","VUT","360"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Vietnam","VNM","524"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","West Bank and Gaza","PSE","424"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Yemen, Rep.","YEM","322"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Zambia","ZMB","NA"
"Harmonized Test Scores, Female","HD.HCI.HLOS.FE","Zimbabwe","ZWE","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Afghanistan","AFG","358"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Albania","ALB","414"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Algeria","DZA","366"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Angola","AGO","327"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Argentina","ARG","427"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Armenia","ARM","439"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Australia","AUS","520"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Austria","AUT","526"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Azerbaijan","AZE","466"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Bahrain","BHR","434"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Bangladesh","BGD","367"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Belgium","BEL","521"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Benin","BEN","384"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Bosnia and Herzegovina","BIH","461"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Botswana","BWA","381"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Brazil","BRA","408"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Bulgaria","BGR","490"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Burkina Faso","BFA","407"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Burundi","BDI","415"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Cambodia","KHM","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Cameroon","CMR","376"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Canada","CAN","535"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Chad","TCD","338"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Chile","CHL","467"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","China","CHN","456"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Colombia","COL","425"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Comoros","COM","400"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Congo, Dem. Rep.","COD","320"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Congo, Rep.","COG","372"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Costa Rica","CRI","433"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Cote d'Ivoire","CIV","375"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Croatia","HRV","506"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Cyprus","CYP","504"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Czech Republic","CZE","521"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Denmark","DNK","529"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Dominican Republic","DOM","344"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Ecuador","ECU","419"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Egypt, Arab Rep.","EGY","344"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","El Salvador","SLV","370"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Estonia","EST","539"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Eswatini","SWZ","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Ethiopia","ETH","363"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Finland","FIN","538"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","France","FRA","504"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Gabon","GAB","458"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Gambia, The","GMB","336"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Georgia","GEO","435"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Germany","DEU","528"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Ghana","GHA","308"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Greece","GRC","466"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Guatemala","GTM","402"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Guinea","GIN","417"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Guyana","GUY","338"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Haiti","HTI","337"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Honduras","HND","401"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Hong Kong SAR, China","HKG","560"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Hungary","HUN","514"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Iceland","ISL","489"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","India","IND","347"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Indonesia","IDN","398"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Iran, Islamic Rep.","IRN","420"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Iraq","IRQ","353"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Ireland","IRL","538"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Israel","ISR","501"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Italy","ITA","516"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Jamaica","JAM","372"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Japan","JPN","565"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Jordan","JOR","391"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Kazakhstan","KAZ","533"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Kenya","KEN","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Kiribati","KIR","372"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Korea, Rep.","KOR","560"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Kosovo","XKX","369"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Kuwait","KWT","369"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Kyrgyz Republic","KGZ","414"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Lao PDR","LAO","363"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Latvia","LVA","522"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Lebanon","LBN","405"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Lesotho","LSO","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Liberia","LBR","335"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Lithuania","LTU","507"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Luxembourg","LUX","499"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Macao SAR, China","MAC","541"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Macedonia, FYR","MKD","370"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Madagascar","MDG","350"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Malawi","MWI","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Malaysia","MYS","463"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Mali","MLI","307"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Malta","MLT","467"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Mauritania","MRT","340"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Mauritius","MUS","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Mexico","MEX","430"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Moldova","MDA","425"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Mongolia","MNG","435"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Montenegro","MNE","426"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Morocco","MAR","359"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Mozambique","MOZ","365"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Myanmar","MMR","418"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Namibia","NAM","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Nepal","NPL","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Netherlands","NLD","527"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","New Zealand","NZL","513"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Nicaragua","NIC","392"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Niger","NER","307"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Nigeria","NGA","329"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Norway","NOR","507"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Oman","OMN","404"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Pakistan","PAK","335"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Panama","PAN","400"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Papua New Guinea","PNG","355"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Paraguay","PRY","388"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Peru","PER","409"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Philippines","PHL","400"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Poland","POL","534"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Portugal","PRT","521"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Qatar","QAT","418"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Romania","ROU","448"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Russian Federation","RUS","535"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Rwanda","RWA","351"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Saudi Arabia","SAU","380"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Senegal","SEN","417"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Serbia","SRB","520"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Seychelles","SYC","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Sierra Leone","SLE","318"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Singapore","SGP","577"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Slovak Republic","SVK","498"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Slovenia","SVN","526"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Solomon Islands","SLB","351"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","South Africa","ZAF","328"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","South Sudan","SSD","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Spain","ESP","514"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Sri Lanka","LKA","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Sudan","SDN","371"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Sweden","SWE","519"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Switzerland","CHE","523"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Tajikistan","TJK","441"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Tanzania","TZA","382"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Thailand","THA","427"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Timor-Leste","TLS","366"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Togo","TGO","384"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Tonga","TON","366"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Trinidad and Tobago","TTO","445"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Tunisia","TUN","381"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Turkey","TUR","455"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Tuvalu","TUV","381"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Uganda","UGA","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Ukraine","UKR","492"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","United Arab Emirates","ARE","439"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","United Kingdom","GBR","515"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","United States","USA","522"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Uruguay","URY","444"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Vanuatu","VUT","351"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Vietnam","VNM","514"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","West Bank and Gaza","PSE","399"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Yemen, Rep.","YEM","321"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Zambia","ZMB","NA"
"Harmonized Test Scores, Male","HD.HCI.HLOS.MA","Zimbabwe","ZWE","NA"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Afghanistan","AFG","0.389"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Albania","ALB","0.621"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Algeria","DZA","0.523"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Angola","AGO","0.361"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Argentina","ARG","0.611"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Armenia","ARM","0.572"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Australia","AUS","0.803"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Austria","AUT","0.793"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Azerbaijan","AZE","0.597"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Bahrain","BHR","0.668"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Bangladesh","BGD","0.479"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Belgium","BEL","0.757"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Benin","BEN","0.406"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Bosnia and Herzegovina","BIH","0.618"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Botswana","BWA","0.424"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Brazil","BRA","0.56"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Bulgaria","BGR","0.676"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Burkina Faso","BFA","0.369"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Burundi","BDI","0.38"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Cambodia","KHM","0.493"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Cameroon","CMR","0.394"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Canada","CAN","0.799"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Chad","TCD","0.293"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Chile","CHL","0.674"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","China","CHN","0.673"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Colombia","COL","0.593"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Comoros","COM","0.409"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Congo, Dem. Rep.","COD","0.369"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Congo, Rep.","COG","0.42"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Costa Rica","CRI","0.619"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Cote d'Ivoire","CIV","0.353"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Croatia","HRV","0.723"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Cyprus","CYP","0.751"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Czech Republic","CZE","0.782"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Denmark","DNK","0.774"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Dominican Republic","DOM","0.492"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Ecuador","ECU","0.602"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Egypt, Arab Rep.","EGY","0.486"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","El Salvador","SLV","0.501"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Estonia","EST","0.747"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Eswatini","SWZ","0.409"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Ethiopia","ETH","0.385"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Finland","FIN","0.814"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","France","FRA","0.765"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Gabon","GAB","0.453"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Gambia, The","GMB","0.397"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Georgia","GEO","0.614"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Germany","DEU","0.795"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Ghana","GHA","0.439"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Greece","GRC","0.681"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Guatemala","GTM","0.46"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Guinea","GIN","0.374"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Guyana","GUY","0.495"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Haiti","HTI","0.446"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Honduras","HND","0.49"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Hong Kong SAR, China","HKG","0.822"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Hungary","HUN","0.703"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Iceland","ISL","0.74"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","India","IND","0.44"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Indonesia","IDN","0.535"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Iran, Islamic Rep.","IRN","0.591"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Iraq","IRQ","0.398"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Ireland","IRL","0.806"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Israel","ISR","0.763"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Italy","ITA","0.769"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Jamaica","JAM","0.544"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Japan","JPN","0.844"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Jordan","JOR","0.562"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Kazakhstan","KAZ","0.746"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Kenya","KEN","0.518"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Kiribati","KIR","0.479"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Korea, Rep.","KOR","0.845"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Kosovo","XKX","0.56"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Kuwait","KWT","0.576"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Kyrgyz Republic","KGZ","0.58"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Lao PDR","LAO","0.452"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Latvia","LVA","0.724"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Lebanon","LBN","0.538"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Lesotho","LSO","0.371"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Liberia","LBR","0.319"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Lithuania","LTU","0.712"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Luxembourg","LUX","0.692"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Macao SAR, China","MAC","0.759"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Macedonia, FYR","MKD","0.534"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Madagascar","MDG","0.374"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Malawi","MWI","0.407"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Malaysia","MYS","0.622"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Mali","MLI","0.317"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Malta","MLT","0.701"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Mauritania","MRT","0.353"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Mauritius","MUS","0.626"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Mexico","MEX","0.607"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Moldova","MDA","0.58"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Mongolia","MNG","0.626"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Montenegro","MNE","0.615"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Morocco","MAR","0.5"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Mozambique","MOZ","0.361"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Myanmar","MMR","0.473"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Namibia","NAM","0.435"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Nepal","NPL","0.49"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Netherlands","NLD","0.8"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","New Zealand","NZL","0.767"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Nicaragua","NIC","0.531"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Niger","NER","0.316"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Nigeria","NGA","0.342"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Norway","NOR","0.771"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Oman","OMN","0.622"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Pakistan","PAK","0.389"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Panama","PAN","0.532"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Papua New Guinea","PNG","0.384"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Paraguay","PRY","0.533"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Peru","PER","0.586"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Philippines","PHL","0.548"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Poland","POL","0.747"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Portugal","PRT","0.776"
Human Capital Index (HCI) (scale 0-1),"HD.HCI.OVRL","Qatar","QAT","0.615"
